"sup_nieve","month","sup_agua"
1323.6161470323482,"1986 ene.",63.60371923888296
803.3518773296394,"1986 feb.",77.62106783147425
122.8476472755448,"1986 mar.",73.06542953888209
1288.3759095292173,"1986 abr.",73.15303796758579
1685.4338526942631,"1986 may.",112.75204774165617
8074.115812950002,"1986 jun.",109.30113632106043
14088.742076378869,"1986 jul.",86.73234441665858
25740.61724592547,"1986 ago.",66.9328395296234
10054.228066255811,"1986 sep.",66.6700142435123
2924.939712759851,"1986 oct.",36.970756912959516
6071.453539693331,"1986 nov.",44.06703963795886
570.9277154769297,"1986 dic.",74.46716439814121
177.6359045641272,"1987 ene.",69.12305024721579
51.37624788609628,"1987 feb.",76.91249429119108
283.3566170735194,"1987 mar.",79.54845326295555
748.207836151309,"1987 abr.",84.64442020938596
3643.367856304586,"1987 may.",92.33877661638255
8805.03404478462,"1987 jun.",89.95659203392196
13571.705996068073,"1987 jul.",68.43238413703693
8160.618616500471,"1987 ago.",51.225745086961425
2777.9005067863045,"1987 sep.",47.07171436330832
3677.269465053151,"1987 oct.",35.04337148147821
1824.6910762117234,"1987 nov.",42.66530477869973
892.380377331785,"1987 dic.",46.32356223721023
261.2081726377095,"1988 ene.",46.95811778518081
83.57226807358231,"1988 feb.",56.9454786574021
80.2544848989873,"1988 mar.",56.77026179999471
765.2399819143893,"1988 abr.",70.64854658955149
3883.6893804022784,"1988 may.",86.73234441665858
1947.0007045940908,"1988 jun.",78.32193526110382
5407.896904774329,"1988 jul.",52.389840364809935
641.7668697453096,"1988 ago.",50.988105505550806
348.4569031480052,"1988 sep.",24.092317893516274
8871.752208867045,"1988 oct.",37.233582199070604
103.47896712115234,"1988 nov.",39.07335920184821
54.78825728858239,"1988 dic.",47.74659364351407
49.76674761892509,"1989 ene.",51.95179822129146
0,"1989 feb.",63.38380286514479
87.69707958794366,"1989 mar.",70.9628272499934
4707.754985119253,"1989 abr.",78.7599774046223
3285.7710504509405,"1989 may.",69.99913453425273
22662.790497687656,"1989 jun.",83.40322412591816
12067.494764526273,"1989 jul.",84.19169998425143
3835.8056989094744,"1989 ago.",43.628997494440384
2224.3494440271274,"1989 sep.",19.44907117222041
962.9641489723181,"1989 oct.",35.569022053700394
406.83195305777133,"1989 nov.",42.314871063884944
151.9903373226631,"1989 dic.",42.22726263518125
1180.054772369467,"1990 ene.",47.308551499995595
84.91731530652622,"1990 feb.",61.15068323517949
11277.503689710542,"1990 mar.",64.30458666851253
231.88614295953204,"1990 abr.",79.28562797684447
10182.621467513884,"1990 may.",88.17184939038765
22404.093079884777,"1990 jun.",89.62342256388054
13187.112081228792,"1990 jul.",92.51450071110249
6955.956600077253,"1990 ago.",43.71660592314408
3251.3378412875763,"1990 sep.",38.46010020092235
1853.7440964433122,"1990 oct.",28.91078147221953
1001.7911790966326,"1990 nov.",40.73791934721843
295.82072143213304,"1990 dic.",45.64399135462538
89.22146645194677,"1991 ene.",72.10173682314142
63.575899210482675,"1991 feb.",65.18067095554949
83.39292844252311,"1991 mar.",69.38587553332687
102.5822689658564,"1991 abr.",74.20433911203013
2713.587957556596,"1991 may.",89.71103099258423
1343.522846079918,"1991 jun.",111.08748759628595
6950.37863356281,"1991 jul.",69.27671548169155
4095.7584941297696,"1991 ago.",32.23990176295996
1503.4041271691854,"1991 sep.",56.77026179999471
3626.6956890944593,"1991 oct.",23.12862517777562
415.61959497967166,"1991 nov.",43.804214351847776
1092.8060418591713,"1991 dic.",48.447461073143636
26.452595581230447,"1992 ene.",37.408799056477996
1083.8886516578518,"1992 feb.",39.44041289682508
2141.9032821074006,"1992 mar.",42.15451036615944
3272.9482668302085,"1992 abr.",46.69529249906972
5322.137630758545,"1992 may.",60.18312038618278
9183.534157463446,"1992 jun.",65.0054540981421
9504.731436690454,"1992 jul.",50.02441278981016
8166.050760649135,"1992 ago.",40.825527775922126
2598.3622446010672,"1992 sep.",38.46010020092235
1494.6164852472853,"1992 oct.",43.804214351847776
514.435731693285,"1992 nov.",44.06703963795886
234.57623742541986,"1992 dic.",45.1183407824032
124.19269450848871,"1993 ene.",66.05675524258645
370.33633813722633,"1993 feb.",72.9778211101784
326.5774681587841,"1993 mar.",76.6573751157336
411.3154438342511,"1993 abr.",81.38823026573316
373.7437911273509,"1993 may.",82.35192298147382
5436.5912457438,"1993 jun.",72.4521705379562
2594.0580934556465,"1993 jul.",60.09938209073514
29458.955486491173,"1993 ago.",100.92490986665726
13332.805419082582,"1993 sep.",82.45976764671003
3496.764126392077,"1993 oct.",39.42379291666299
531.6523362749673,"1993 nov.",47.04572621388451
210.1860476013701,"1993 dic.",53.70396679536537
61.69283308436119,"1994 ene.",49.2359369314769
59.54075751165091,"1994 feb.",55.1057016546245
0,"1994 mar.",73.1811573516445
0,"1994 abr.",89.20183858736057
603.4778585141727,"1994 may.",108.10880102036029
683.2839943355119,"1994 jun.",91.98885013888031
647.9540870168516,"1994 jul.",43.36617220832929
2033.281610722639,"1994 ago.",34.67390857948355
0,"1994 sep.",53.81899013926902
713.0543730913374,"1994 oct.",44.767907067588425
136.9258083136912,"1994 nov.",43.54138906573669
0,"1994 dic.",46.17238893975002
52.99486097799049,"1995 ene.",49.148328502773204
27.029260109353345,"1995 feb.",56.399780094432636
181.76071607848854,"1995 mar.",66.31958052869751
214.66953837784982,"1995 abr.",75.16803182777078
4552.267524990936,"1995 may.",93.12775971202836
1177.6336873501677,"1995 jun.",183.62726656294583
1394.7243107473166,"1995 jul.",54.84287636851341
837.0677279687669,"1995 ago.",28.735564614812137
